EmpID,Age_ID,AgeGroup_ID,Attrition_ID,BusinessTravel_ID,DailyRate,Department_ID,DistanceFromHomeInKm,Education_ID,EducationField_ID,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction_ID,Gender_ID,HourlyRate,JobInvolvement,JobInvolvement_ID,JobLevel_ID,JobRole_ID,JobSatisfaction_ID,MaritalStatus_ID,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18_ID,OverTime_ID,PercentSalaryHike,PerformanceRating_ID,RelationshipSatisfaction_ID,StandardHours,StockOptionLevel_ID,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM911,6,1,2,1,373,1,1.6,2,1,1,1270,2,1,47,High Involvement,1,1,3,1,3,1223,Upto 5k,16901,1,1,1,22,2,3,80,3,1,2,Satisfied,1,0,0,1
RM1083,6,1,2,1,507,1,32.2,3,1,1,1533,4,1,97,High Involvement,1,2,1,1,1,2272,Upto 5k,24812,0,1,1,14,1,4,80,1,5,2,Satisfied,4,3,1,2
RM1128,6,1,2,1,977,1,16.1,1,4,1,1592,2,1,45,Extremely High Involvement,4,1,3,1,3,2073,Upto 5k,12826,2,1,1,16,1,3,80,3,4,2,Satisfied,2,2,2,2
RM1202,6,1,1,1,1320,1,12.9,3,2,1,1684,2,1,93,Moderate Involvement,2,1,1,1,1,3989,Upto 5k,20586,1,1,2,11,1,2,80,1,5,2,Satisfied,5,4,1,2
RM1214,6,1,1,1,427,2,11.3,1,1,1,1702,1,1,99,High Involvement,1,1,2,3,2,2275,Upto 5k,25103,1,1,2,21,2,4,80,3,3,2,Satisfied,3,2,0,2
RM1239,6,1,2,1,160,1,6.4,3,2,1,1735,1,2,51,High Involvement,1,1,1,2,1,3295,Upto 5k,12862,1,1,1,13,1,1,80,1,3,3,Extremely Dissatisfied,3,2,1,2
RM1409,6,1,2,1,571,1,19.3,2,5,1,1982,2,1,78,High Involvement,1,1,1,3,1,2647,Upto 5k,13672,1,1,1,13,1,1,80,1,5,6,Extremely Satisfied,5,2,1,4
RM1439,6,1,1,2,638,2,14.5,1,3,1,2023,2,1,33,High Involvement,1,1,2,4,3,1790,Upto 5k,26956,1,1,1,19,1,2,80,3,1,3,Dissatisfied,1,0,1,0
RM021,7,1,2,3,673,1,17.7,2,5,1,26,4,2,96,Extremely High Involvement,4,2,5,1,2,4011,Upto 5k,8232,0,1,1,18,1,3,80,3,5,5,Dissatisfied,4,2,1,3
RM035,7,1,1,1,813,1,1.6,1,2,1,45,3,1,61,High Involvement,1,1,3,3,3,2293,Upto 5k,3020,2,1,2,16,1,2,80,3,6,2,Dissatisfied,2,0,2,0
RM097,7,1,2,1,1353,2,4.8,2,5,1,128,4,2,33,High Involvement,1,2,6,1,3,4999,Upto 5k,17519,0,1,1,21,2,2,80,3,4,2,Dissatisfied,3,2,0,2
RM114,7,1,2,1,1127,1,29,3,1,1,150,3,1,52,High Involvement,1,1,1,1,3,2774,Upto 5k,13257,0,1,1,12,1,1,80,3,6,2,Satisfied,5,3,1,2
RM381,7,1,2,1,1371,2,16.1,4,3,1,507,2,2,77,High Involvement,1,2,6,1,2,4260,Upto 5k,5915,1,1,2,12,1,3,80,3,5,2,Extremely Satisfied,5,2,0,3
RM415,7,1,1,1,1448,2,1.6,3,4,1,554,4,2,62,High Involvement,1,1,2,2,1,3202,Upto 5k,21972,1,1,2,16,1,4,80,1,6,4,Satisfied,5,3,1,4
RM471,7,1,2,2,535,2,38.6,1,2,1,632,2,1,38,High Involvement,1,1,2,3,3,2400,Upto 5k,5530,0,1,1,13,1,1,80,2,3,3,Satisfied,2,2,2,1
RM475,7,1,2,1,691,1,37,1,2,1,639,3,1,89,Extremely High Involvement,4,1,3,3,3,2725,Upto 5k,21630,1,1,2,11,1,4,80,2,6,3,Satisfied,6,5,1,4
RM477,7,1,2,1,823,1,27.4,2,5,1,643,2,1,94,Moderate Involvement,2,1,1,2,3,2127,Upto 5k,9100,1,1,1,21,2,3,80,3,1,2,Satisfied,1,0,0,0
RM480,7,1,1,2,1287,1,11.3,1,1,1,647,4,2,55,High Involvement,1,1,1,1,3,2886,Upto 5k,14168,1,1,2,16,1,3,80,3,6,4,Satisfied,6,3,1,2
RM526,7,1,1,1,693,2,4.8,2,1,1,720,4,2,65,High Involvement,1,2,6,1,1,4577,Upto 5k,24785,9,1,1,14,1,2,80,1,4,3,Satisfied,2,2,2,0
RM587,7,1,2,3,1092,1,14.5,1,1,1,812,1,1,60,Moderate Involvement,2,1,1,2,2,2694,Upto 5k,26551,1,1,1,11,1,1,80,4,1,4,Satisfied,1,0,0,0
RM641,7,1,2,3,1269,1,6.4,3,1,1,888,4,1,46,Moderate Involvement,2,1,1,3,3,3162,Upto 5k,10778,0,1,1,17,1,3,80,1,6,2,Dissatisfied,5,2,3,4
RM725,7,1,2,1,1206,1,27.4,3,2,1,1009,2,2,41,Moderate Involvement,2,2,5,1,2,4377,Upto 5k,24117,1,1,1,15,1,4,80,2,5,6,Satisfied,4,2,3,2
RM842,7,1,2,1,477,1,38.6,1,2,1,1173,2,1,49,High Involvement,1,1,1,2,1,3597,Upto 5k,6409,8,1,1,22,2,3,80,1,6,2,Satisfied,4,3,1,2
RM872,7,1,1,1,984,1,27.4,2,1,1,1219,2,2,97,High Involvement,1,1,1,2,3,2210,Upto 5k,3372,1,1,1,13,1,2,80,3,1,3,Extremely Dissatisfied,1,0,0,0
RM1026,7,1,2,1,1476,2,6.4,3,2,1,1445,2,2,42,High Involvement,1,2,6,1,3,4162,Upto 5k,15211,1,1,2,12,1,1,80,2,5,3,Satisfied,5,4,0,3
RM1061,7,1,1,2,381,1,14.5,1,2,1,1494,3,1,89,High Involvement,1,1,1,4,1,3172,Upto 5k,16998,2,1,2,11,1,1,80,1,4,2,Dissatisfied,0,0,0,0
RM1062,7,1,2,3,830,2,20.9,2,1,1,1495,2,2,78,High Involvement,1,1,2,2,3,2033,Upto 5k,7103,1,1,1,13,1,1,80,3,1,2,Satisfied,1,0,0,0
RM1098,7,1,2,1,350,1,33.8,2,4,1,1551,1,1,57,Moderate Involvement,2,1,1,4,2,2296,Upto 5k,10036,0,1,1,14,1,4,80,4,2,3,Satisfied,1,1,0,0
RM1169,7,1,2,2,567,1,3.2,3,4,1,1646,4,2,32,High Involvement,1,1,3,3,1,3760,Upto 5k,17218,1,1,2,13,1,1,80,1,6,2,Satisfied,6,3,1,3
RM1218,7,1,2,1,581,1,14.5,1,2,1,1707,1,1,62,Extremely High Involvement,4,1,3,1,3,4401,Upto 5k,17616,1,1,1,16,1,3,80,3,5,1,Satisfied,5,3,0,4
RM1223,7,1,1,1,240,3,35.4,3,6,1,1714,2,1,58,Low Involvement,3,1,4,1,3,1555,Upto 5k,11585,1,1,1,11,1,1,80,3,1,2,Satisfied,1,0,0,0
RM1231,7,1,2,1,506,1,46.7,3,2,1,1725,3,1,91,High Involvement,1,1,1,4,2,3907,Upto 5k,3622,1,1,1,13,1,4,80,4,6,2,Extremely Satisfied,6,2,1,2
RM1246,7,1,2,2,897,3,16.1,1,2,1,1746,4,1,59,High Involvement,1,1,4,3,3,2145,Upto 5k,2097,0,1,1,14,1,3,80,3,3,2,Satisfied,2,2,2,1
RM1408,7,1,2,1,771,1,1.6,2,1,1,1981,3,1,45,Moderate Involvement,2,2,7,1,1,4617,Upto 5k,14120,1,1,1,12,1,4,80,1,4,2,Dissatisfied,4,3,1,2
RM108,8,1,1,1,240,2,8,1,3,1,142,1,1,46,Moderate Involvement,2,2,6,1,1,5744,5k-10k,26959,1,1,2,11,1,3,80,1,6,1,Satisfied,6,4,0,3
RM109,8,1,2,1,1280,1,11.3,3,2,1,143,2,1,64,Moderate Involvement,2,1,3,3,3,2889,Upto 5k,26897,1,1,1,11,1,1,80,2,2,2,Satisfied,2,2,2,1
RM139,8,1,2,1,959,2,45.1,1,1,1,183,4,1,41,Moderate Involvement,2,2,6,1,3,8639,5k-10k,24835,2,1,1,18,1,3,80,1,6,3,Satisfied,2,2,2,
RM256,8,1,2,1,685,1,1.6,1,1,1,350,4,2,62,High Involvement,1,2,5,1,3,4898,Upto 5k,7505,0,1,1,12,1,3,80,2,5,3,Satisfied,4,2,1,
RM268,8,1,2,3,675,1,8,2,1,1,369,3,1,85,Extremely High Involvement,4,2,7,4,2,4000,Upto 5k,18384,1,1,1,12,1,3,80,2,6,2,Satisfied,6,3,1,5
RM398,8,1,2,1,891,2,6.4,2,1,1,527,3,2,99,Moderate Involvement,2,2,6,3,1,4487,Upto 5k,12090,1,1,2,11,1,4,80,1,5,3,Satisfied,5,4,1,3
RM406,8,1,1,1,688,1,4.8,1,2,1,538,4,1,91,High Involvement,1,1,1,4,3,4031,Upto 5k,9396,5,1,1,13,1,1,80,3,6,5,Satisfied,2,2,0,
RM479,8,1,2,1,622,2,20.9,3,2,1,645,3,1,40,High Involvement,1,1,2,1,3,2096,Upto 5k,26376,1,1,1,11,1,1,80,1,7,1,Satisfied,7,4,0,6
RM518,8,1,2,1,810,2,12.9,1,1,1,707,2,1,57,Extremely High Involvement,4,2,6,2,3,4851,Upto 5k,15678,0,1,1,22,2,1,80,3,4,4,Satisfied,3,2,1,2
RM564,8,1,2,1,883,2,41.8,3,2,1,781,1,2,32,High Involvement,1,2,6,3,1,6180,5k-10k,22807,1,1,1,23,2,4,80,1,6,5,Dissatisfied,6,5,1,4
RM619,8,1,2,1,180,1,3.2,3,2,1,854,4,1,65,Extremely High Involvement,4,1,3,4,1,3424,Upto 5k,21632,7,1,1,13,1,1,80,1,6,3,Dissatisfied,4,3,0,1
RM635,8,1,2,1,141,2,4.8,3,5,1,879,1,1,98,High Involvement,1,2,6,4,3,4194,Upto 5k,14363,1,1,2,18,1,3,80,1,5,3,Satisfied,5,3,0,3
RM639,8,1,2,1,583,2,6.4,3,3,1,885,1,1,87,Moderate Involvement,2,2,6,4,3,4256,Upto 5k,18154,1,1,1,12,1,2,80,1,5,1,Extremely Satisfied,5,2,0,3
RM684,8,1,1,1,867,2,30.6,2,3,1,952,1,1,36,Moderate Involvement,2,1,2,2,3,2413,Upto 5k,18798,1,1,2,18,1,1,80,4,1,2,Satisfied,1,0,0,0
RM797,8,1,1,1,1219,1,6.4,3,4,1,1106,2,1,32,High Involvement,1,1,1,3,3,3691,Upto 5k,4605,1,1,2,15,1,4,80,3,7,3,Extremely Satisfied,7,7,5,6
RM886,8,1,2,1,1356,2,16.1,4,1,1,1240,1,1,57,High Involvement,1,2,6,3,1,4950,Upto 5k,20623,0,1,1,14,1,4,80,1,5,4,Satisfied,4,3,1,1
RM912,8,1,1,2,599,2,38.6,3,1,1,1273,1,1,73,Low Involvement,3,1,2,3,1,1118,Upto 5k,8040,1,1,2,14,1,3,80,1,1,4,Satisfied,1,0,1,0
RM935,8,1,2,1,266,1,1.6,1,2,1,1303,2,2,40,High Involvement,1,1,3,2,1,2096,Upto 5k,18830,1,1,1,18,1,3,80,1,2,3,Dissatisfied,2,2,2,1
RM966,8,1,2,1,882,1,30.6,3,2,1,1358,2,1,67,High Involvement,1,1,1,3,3,3669,Upto 5k,9075,3,1,1,11,1,1,80,4,7,6,Dissatisfied,3,2,1,2
RM994,8,1,2,1,1372,2,29,3,1,1,1399,4,1,93,Extremely High Involvement,4,2,6,1,3,6232,5k-10k,12477,2,1,1,11,1,4,80,1,6,3,Dissatisfied,3,2,1,2
RM1004,8,1,2,1,949,1,1.6,1,4,1,1415,4,1,81,High Involvement,1,1,1,3,3,3229,Upto 5k,4910,4,1,1,11,1,4,80,3,7,2,Dissatisfied,3,2,0,2
RM1022,8,1,1,1,383,2,14.5,2,1,1,1439,4,1,68,Moderate Involvement,2,1,2,4,3,4400,Upto 5k,15182,3,1,1,12,1,2,80,1,6,2,Satisfied,3,2,2,2
RM1175,8,1,2,2,772,1,3.2,3,1,1,1653,2,1,77,Extremely High Involvement,4,2,5,1,2,5206,5k-10k,4973,1,1,1,17,1,1,80,2,7,6,Satisfied,7,7,0,7
RM1412,8,1,2,1,309,3,3.2,1,6,1,1987,1,2,82,High Involvement,1,1,4,2,3,2187,Upto 5k,19655,4,1,1,14,1,1,80,1,6,3,Satisfied,2,0,1,2
RM1414,8,1,2,1,977,1,3.2,3,5,1,1992,2,1,57,High Involvement,1,1,1,1,2,3977,Upto 5k,7298,6,1,2,19,1,1,80,3,7,2,Dissatisfied,2,2,0,2
RM1434,8,1,2,1,1382,2,12.9,2,5,1,2018,4,2,85,High Involvement,1,2,6,1,2,4907,Upto 5k,13684,0,1,2,22,2,4,80,3,6,3,Dissatisfied,5,3,0,4
RM043,9,2,1,1,1357,1,40.2,1,1,1,55,4,1,48,Low Involvement,3,1,1,1,1,2293,Upto 5k,10558,1,1,1,12,1,1,80,1,1,2,Dissatisfied,1,0,0,1
RM055,9,2,2,1,1443,2,37,1,3,1,72,1,2,47,Moderate Involvement,2,2,6,3,3,4157,Upto 5k,21436,7,1,2,19,1,1,80,3,5,2,Dissatisfied,2,2,0,0
RM126,9,2,2,1,841,1,9.7,1,5,1,164,1,2,46,Moderate Involvement,2,1,3,2,3,2368,Upto 5k,23300,1,1,1,19,1,1,80,1,5,3,Dissatisfied,5,4,4,3
RM135,9,2,2,1,1355,3,40.2,3,1,1,177,1,2,61,High Involvement,1,1,4,1,3,2942,Upto 5k,8916,1,1,1,23,2,3,80,3,8,3,Satisfied,8,7,5,7
RM279,9,2,2,2,1479,1,1.6,1,1,1,384,1,2,84,High Involvement,1,2,5,2,2,6397,5k-10k,26767,1,1,1,20,2,2,80,3,6,6,Extremely Dissatisfied,6,5,1,4
RM285,9,2,2,2,496,1,17.7,2,2,1,390,4,1,60,High Involvement,1,2,7,4,3,4741,Upto 5k,22722,1,1,2,13,1,1,80,3,5,3,Satisfied,5,3,3,3
RM289,9,2,1,1,1449,1,25.7,4,2,1,394,4,1,45,High Involvement,1,1,1,2,2,2373,Upto 5k,14180,2,1,2,13,1,3,80,3,5,2,Satisfied,3,2,0,2
RM294,9,2,1,1,950,2,6.4,4,3,1,401,2,1,48,Moderate Involvement,2,2,6,3,1,5828,5k-10k,8450,1,1,2,12,1,4,80,1,8,0,Satisfied,8,7,7,4
RM356,9,2,2,1,933,2,1.6,1,1,1,476,1,1,57,High Involvement,1,2,6,1,3,5296,5k-10k,20156,1,1,1,17,1,4,80,3,8,3,Satisfied,8,7,7,7
